month,aov
2016-09,84.08
2016-10,182.378024691358
2016-12,19.62
2017-01,173.11005
2017-02,163.993264044944
2017-03,167.73437733035
2017-04,173.788698003328
2017-05,160.24832972973
2017-06,157.558206471495
2017-07,147.139324391456
2017-08,155.713765873932
2017-09,169.839544924154
2017-10,168.360587346146
2017-11,158.38849416755
2017-12,154.838970562313
2018-01,153.391687990095
2018-02,147.512387039239
2018-03,160.817101650257
2018-04,167.284259979824
2018-05,167.900792957951
2018-06,166.025701313443
2018-07,169.50743006993
2018-08,157.006345208845
2018-09,277.47125
2018-10,147.4175
